sampleID	band	species	location	site	nest	year	age	sex	experiment	treatment	cap_doy	cap_num	age	mass	bhead	fwing	dist_time	latency	sseries_type	cort1_raw	cort1_correct	glucose1	buty	bleed2_time	cort2_raw	cort2_correct	glucose2	inject1_type	inject1_dose	inject1_time	inject2_type	inject2_dose	inject2_time	bleed3_time	cort3_raw	cort3_correct	glucose3	release	fate	micro_nb	blood_nb	bolus_nb	lifetag_nb	notes
P20N529	281174428	TRES	Ithaca	Unit_1	397	2020	Nestling				174	1	12	23.9	27.3	50	00-Jan-00																						Fledged		200363			
P20N530	281174429	TRES	Ithaca	Unit_1	346	2020	Nestling				174	1	12	21.5	26	51	00-Jan-00																						Fledged		200364			For Sarah Wolf SW.R_0049 and SW.D_0049
P20N531	281174430	TRES	Ithaca	Unit_1	346	2020	Nestling				174	1	12	20.5	25.4	44	00-Jan-00																						Fledged		200365			For Sarah Wolf SW.R_0050 and SW.D_0050
P20N532	281174431	TRES	Ithaca	Unit_1	346	2020	Nestling				174	1	12	23.2	26.1	55	00-Jan-00																						Fledged		200366			
P20N533	281174432	TRES	Ithaca	Unit_1	346	2020	Nestling				174	1	12	22	26	49	00-Jan-00																						Fledged		200367			
P20N534	281174433	TRES	Ithaca	Unit_1	346	2020	Nestling				174	1	12	22	24.6	53	00-Jan-00																						Fledged		200368			
P20N535	281174434	TRES	Ithaca	Unit_1	358	2020	Nestling				174	1	12	20	26.3	55	00-Jan-00																						Fledged		200369			For Sarah Wolf SW.R_0051 and SW.D_0051
P20N536	281174435	TRES	Ithaca	Unit_1	358	2020	Nestling				174	1	12	21.2	26.7	56	00-Jan-00																						Fledged		200370			For Sarah Wolf SW.R_0052 and SW.D_0052
P20N537	281174436	TRES	Ithaca	Unit_1	358	2020	Nestling				174	1	12	21.2	26.3	52	00-Jan-00																						Fledged		200371			
P20N538	281174437	TRES	Ithaca	Unit_1	358	2020	Nestling				174	1	12	23.5	26.5	58	00-Jan-00																						Fledged		200372			
P20N539	281174438	TRES	Ithaca	Unit_1	312	2020	Nestling				174	1	12	13.6	23.7	37	00-Jan-00																						Fledged		200373			
P20N540	281174439	TRES	Ithaca	Unit_1	312	2020	Nestling				174	1	12	22.7	26	56	00-Jan-00																						Fledged		200374			For Sarah Wolf SW.R_053 and SW.D_053
P20N541	281174440	TRES	Ithaca	Unit_1	312	2020	Nestling				174	1	12	22	26	49	00-Jan-00																						Fledged		200375			For Sarah Wolf SW.R_054 and SW.D_054
P20N542	281174441	TRES	Ithaca	Unit_1	312	2020	Nestling				174	1	12	24.4	27	56	00-Jan-00																						Fledged		200376			
P20N543	281174442	TRES	Ithaca	Unit_1	312	2020	Nestling				174	1	12	21.5	26.3	55	00-Jan-00																						Fledged		200377			
P20N544	281174448	TRES	Ithaca	Unit_1	127	2020	Nestling				175	1	12	19.2	24.4	50	00-Jan-00																						Fledged		200382			
P20N545	272108361	TRES	Ithaca	Unit_2	97	2020	Nestling				174	1	12	25.7	29.4	59																							Predation		200669			No disturbance time listed
P20N546	272108362	TRES	Ithaca	Unit_2	97	2020	Nestling				174	1	12	22.2	28.1	55																							Fledged		200670			No disturbance time listed
	278171900	TRES	Tennessee	Marina	1	2018	Adult	M	Stressor	Mate_Low_Tape	140	1	AHY	19.25	28.4	121	00-Jan-00	00-Jan-00				215		00-Jan-00			226		8.5	00-Jan-00				00-Jan-00				00-Jan-00		M180105	T18163			
	272107296	TRES	Ithaca	Unit_4	71	2018	Nestling				174		15	17.5			00-Jan-00		A30											00-Jan-00				00-Jan-00	21.23	22.43			Fledged	M18318	180497			
	263113706	TRES	Ithaca	Unit_2	122	2018	Adult	F	Color_Stressor	Dull_Tape	138	1	ASY	22	28.6	124	00-Jan-00	00-Jan-00		3.41	3.61	221		00-Jan-00	51.1	53.99	275		10	00-Jan-00				00-Jan-00	16.18	17.1		00-Jan-00		M18N001	180512			Not enough plasma for BUTY
	272106733	TRES	Ithaca	Unit_2	68	2018	Adult	F	Color_Stressor	Control_Tape	140	1	SY	21	28.6	115	00-Jan-00	00-Jan-00		0.51	0.54	184	1.88	00-Jan-00	41.61	43.96	198		9.5	00-Jan-00				00-Jan-00	16.6	17.54		00-Jan-00		M18N002	180515			"BUTY log - no dilution with saline; stress BUTY too high, used dex instead. 4 micro litres dex = 1.88 mmol/1"
	272107739	TRES	Ithaca	Unit_2	109	2018	Adult	F	Color_Stressor	Control_Predator	140	1	ASY	18.5	28.2	109	00-Jan-00	00-Jan-00		0.47	0.47	273	0.53	00-Jan-00	18.4	19.45	270		8.5	00-Jan-00				00-Jan-00	9.23	9.76		00-Jan-00		M18N003	180516			"- no dilution with saline
- 4 microliters were used
- band number was recorded as 272107735, not -39"
	272108041	TRES	Ithaca	Unit_2	124	2018	Adult	F	Color_Stressor	Dull_Control	140	1	ASY	22	28.7	122	00-Jan-00	00-Jan-00		2.45	2.59	248	0.48	00-Jan-00	24.86	26.26	208		10	00-Jan-00				00-Jan-00	10.73	11.34		00-Jan-00		M18N004	180517			"no dilution with saline for the BUTY 
- BUTY measured from baseline using 4 microliters with no dilution
- microbiome stored in 0.5 mL tube"
	272107016	TRES	Ithaca	Unit_2	105	2018	Adult	F	Color_Stressor	Dull_Predator	141	1	ASY	22.5	28.9	123	00-Jan-00	00-Jan-00		0.47	0.47	244	0.43	00-Jan-00	31.35	33.13	267		10.5	00-Jan-00				00-Jan-00	16.81	17.76		00-Jan-00		M18N005	180522			
	272106635	TRES	Ithaca	Unit_2	22	2018	Adult	F	Color_Stressor	Control_Control	141	1	SY	20	28.5	118	00-Jan-00	00-Jan-00		2.48	2.62	237	0.38	00-Jan-00	35.68	37.7	332		9	00-Jan-00				00-Jan-00	7.42	7.84		00-Jan-00		M18N006	180523			
	272107749	TRES	Ithaca	Unit_2	67	2018	Adult	F	Color_Stressor	Dull_Tape	142	1	ASY	21.5	28.5	117	00-Jan-00	00-Jan-00		9.07	9.59	216	0.43	00-Jan-00	40.87	43.18	279		10	00-Jan-00				00-Jan-00	17.4	18.39		00-Jan-00		M18N007	180531			
	272107801	TRES	Ithaca	Unit_2	51	2018	Adult	F	Color_Stressor	Control_Predator	142	1	SY	22.5	28.8	118	00-Jan-00	00-Jan-00		5.28	5.58	223	0.22	00-Jan-00	39.32	41.55	266		10.5	00-Jan-00				00-Jan-00	11.84	12.51		00-Jan-00		M18N008	180532			
	272107802	TRES	Ithaca	Unit_1	32	2018	Adult	F	Color_Stressor	Dull_Tape	142	1	SY	20	29.3	117	00-Jan-00	00-Jan-00		4.9	5.18	201	0.41	00-Jan-00	15.15	16	246		9	00-Jan-00				00-Jan-00	8.88	9.38		00-Jan-00		M18N009	180533			
	272106906	TRES	Ithaca	Unit_2	49	2018	Adult	F	Color_Stressor	Dull_Control	143	1	SY	20.5	28.8	115	00-Jan-00	00-Jan-00		1.23	1.3	207	0.57	00-Jan-00	24.69	26.09	310		9.5	00-Jan-00				00-Jan-00	9.1	9.62		00-Jan-00		M18N010	180540			
	272107806	TRES	Ithaca	Unit_2	38	2018	Adult	F	Color_Stressor	Control_Control	143	1	SY	23.25	29.3	122	00-Jan-00	00-Jan-00		2.64	2.79	219	0.46	00-Jan-00	47.14	49.81	224		10.5	00-Jan-00				00-Jan-00	13.4	14.16		00-Jan-00		M18N011	180541			
	272106904	TRES	Ithaca	Unit_2	80	2018	Adult	F	Color_Stressor	Dull_Predator	143	1	SY	19	27.7	118	00-Jan-00	00-Jan-00		0.99	1.05	278	0.35	00-Jan-00	35.42	37.42	303		8.5	00-Jan-00				00-Jan-00	21.33	22.54		00-Jan-00		M18N012	180542			
	272106907	TRES	Ithaca	Unit_2	86	2018	Adult	F	Color_Stressor	Control_Predator	143	1	ASY	22	28.1	120	00-Jan-00	00-Jan-00		0.5	0.52	231	0.4	00-Jan-00	29.73	31.41	279		10	00-Jan-00				00-Jan-00	12.66	13.38		00-Jan-00		M18N013	180543			
	272107748	TRES	Ithaca	Unit_2	12	2018	Adult	F	Color_Stressor	Control_Control	143	1	ASY	21.5	29.3	123.5	00-Jan-00	00-Jan-00		12.97	13.7	204		00-Jan-00	7.09	7.5	250		10	00-Jan-00				00-Jan-00	8.67	9.16		00-Jan-00		M18N014	180544			BUTY not enough
	88004754	TRES	Ithaca	Unit_2	21	2018	Adult	F	Color_Stressor	Control_Control	143	1	ASY	21	28.5	119	00-Jan-00	00-Jan-00		3.39	3.59	210		00-Jan-00	13.63	14.4	239		9.5	00-Jan-00				00-Jan-00	20.12	21.26		00-Jan-00		M18N015	180545			no BUTY measured
	272107805	TRES	Ithaca	Unit_2	34	2018	Adult	F	Color_Stressor	Dull_Control	143	1	ASY	20.5	28.4	115	00-Jan-00	00-Jan-00		0.89	0.94	173	0.43	00-Jan-00	46.57	49.2	226		9.5	00-Jan-00				00-Jan-00	14.75	15.59		00-Jan-00		M18N016	180546			
	272106901	TRES	Ithaca	Unit_2	6	2018	Adult	F	Color_Stressor	Control_Tape	143	1	SY	19	28.6	115	00-Jan-00	00-Jan-00		5.49	5.81	196	0.55	00-Jan-00	45.55	48.13	257		8.5	00-Jan-00				00-Jan-00	15.01	15.86		00-Jan-00		M18N017	180547			
	272106905	TRES	Ithaca	Unit_2	14	2018	Adult	F	Color_Stressor	Dull_Predator	143	1	SY	19	28.2	112	00-Jan-00	00-Jan-00		7.1	7.5	222	0.38	00-Jan-00	55.92	59.09	228		8.5	00-Jan-00				00-Jan-00	21.02	22.21		00-Jan-00		M18N018	180548			
	272106902	TRES	Ithaca	Unit_2	8	2018	Adult	F	Color_Stressor	Dull_Control	143	1	SY	21.5	28.8	119	00-Jan-00	00-Jan-00		1.75	1.85	221	0.4	00-Jan-00	13.96	14.75	238		10	00-Jan-00				00-Jan-00	11.65	12.31		00-Jan-00		M18N019	180549			
	272106903	TRES	Ithaca	Unit_2	112	2018	Adult	F	Color_Stressor	Dull_Tape	143	1	SY	19.5	28.7	113	00-Jan-00	00-Jan-00		2.97	3.14	216	0.47	00-Jan-00	10.39	10.98	261		9	00-Jan-00				00-Jan-00	12.41	13.11		00-Jan-00		M18N020	180550			
	272107803	TRES	Ithaca	Unit_2	96	2018	Adult	F	Color_Stressor	Control_Control	143	1	SY	21	28.3	115	00-Jan-00	00-Jan-00		1.21	1.28	196	0.51	00-Jan-00	47.2	49.87	218		9.5	00-Jan-00				00-Jan-00	21.13	22.32		00-Jan-00		M18N021	180551			
	232146953	TRES	Ithaca	Unit_1	81	2018	Adult	F	Color_Stressor	Dull_Control	143	1	ASY	21	29	117	00-Jan-00	00-Jan-00		0.47	0.5	256	0.23	00-Jan-00	39.24	41.47	246		9.5	00-Jan-00				00-Jan-00	16.77	17.72		00-Jan-00		M18N022	180552			
	240134898	TRES	Ithaca	Unit_4	61	2018	Adult	F	Color_Stressor	Control_Tape	143	1	ASY	24	27.9	114	00-Jan-00	00-Jan-00		3.25	3.43	163		00-Jan-00	29.53	31.2	222		11	00-Jan-00				00-Jan-00	14.91	15.75		00-Jan-00		M18N023	180554			not enough plasma for BUTY
	272107219	TRES	Ithaca	Unit_4	62	2018	Adult	F	Color_Stressor	Dull_Predator	144	1	ASY	22.5	28.6	119	00-Jan-00	00-Jan-00		3.73	3.94	160	1.25	00-Jan-00	78.5	82.95	147		10.5	00-Jan-00				00-Jan-00	20.4	21.55		00-Jan-00		M18N024	180564			
	272107764	TRES	Ithaca	Unit_4	63	2018	Adult	F	Color_Stressor	Control_Tape	144	1	ASY	24.25	28.4	120	00-Jan-00	00-Jan-00		1.38	1.46	183	0.41	00-Jan-00	18.03	19.05	215		11	00-Jan-00				00-Jan-00	14.42	15.23		00-Jan-00		M18N025	180565			
	272107298	TRES	Ithaca	Unit_4	72	2018	Adult	F	Color_Stressor	Dull_Tape	144	1	ASY	23.5	28.7	118	00-Jan-00	00-Jan-00		0.74	0.78	227	0.91	00-Jan-00	28.42	30.03	233		11	00-Jan-00				00-Jan-00	19.29	20.39		00-Jan-00		M18N026	180566			
	272107599	TRES	Ithaca	Unit_4	80	2018	Adult	F	Color_Stressor	Control_Control	144	1	ASY	23	28.3	120	00-Jan-00	00-Jan-00		0.95	1	211	0.54	00-Jan-00	60.28	63.7	222		10.5	00-Jan-00				00-Jan-00	31.52	33.31		00-Jan-00		M18N027	180567			
	272107808	TRES	Ithaca	Unit_1	69	2018	Adult	F	Color_Stressor	Dull_Control	144	1	SY	19.5	28	114	00-Jan-00	00-Jan-00		0.65	0.69	244	0.56	00-Jan-00	27.41	28.96	165		9	00-Jan-00				00-Jan-00	12.35	13.05		00-Jan-00		M18N028	180568			Unclear whether manipulated after first capture
	185746899	TRES	Ithaca	Unit_1	69	2018	Adult	M	Color_Stressor	Mate_Dull_Control	144	1	AHY	18.5	28.7	121	00-Jan-00	00-Jan-00		28.74	30.37			00-Jan-00	35.74	37.76			8.5	00-Jan-00				00-Jan-00	14.28	15.08		00-Jan-00		M18N029	180569			Male found on dead eggs 5/28/18
	262125490	TRES	Ithaca	Unit_1	77	2018	Adult	F	Color_Stressor	Control_Control	144	1	ASY	20.5	28	122	00-Jan-00	00-Jan-00		1.71	1.81	215	0.38	00-Jan-00	15.54	16.42	244		9.5	00-Jan-00				00-Jan-00	9.85	10.4		00-Jan-00		M18N030	180570			Female was not colored. Female has 1st capture only.
	272107809	TRES	Ithaca	Unit_1	91	2018	Adult	F	Color_Stressor	Control_Predator	144	1	SY	21.5	28	116	00-Jan-00	00-Jan-00		0.47	0.47	221	0.46	00-Jan-00	40.47	42.77	292		10	00-Jan-00				00-Jan-00	18.65	19.71		00-Jan-00		M18N031	180571			
	272107161	TRES	Ithaca	Unit_2	95	2018	Adult	F	Color_Stressor	Dull_Control	144	1	SY	21.5	29.1	116	00-Jan-00	00-Jan-00		0.47	0.47	248	0.28	00-Jan-00	19.75	20.86	136		10	00-Jan-00				00-Jan-00	6.95	7.34				M18N032	180572			
	272107217	TRES	Ithaca	Unit_2	114	2018	Adult	F	Color_Stressor	Dull_Predator	144	1	ASY	22	29.2	118	00-Jan-00	00-Jan-00		0.81	0.85	234	0.21	00-Jan-00	13.76	14.54	300		10	00-Jan-00				00-Jan-00	11.18	11.81		00-Jan-00		M18N033	180573			abandoned
	272107804	TRES	Ithaca	Unit_2	32	2018	Adult	F	Color_Stressor	Control_Predator	144	1	ASY	20	28.8	115.5	00-Jan-00	00-Jan-00		0.74	0.78	187	0.59	00-Jan-00	31.77	33.57	240		9	00-Jan-00				00-Jan-00	13.37	14.13		00-Jan-00		M18N034	180574			
	272106908	TRES	Ithaca	Unit_2	103	2018	Adult	F	Color_Stressor	Control_Tape	144	1	SY	21.5	29.3	119	00-Jan-00	00-Jan-00		0.47	0.47	225	0.47	00-Jan-00	17.72	18.72	283		10	00-Jan-00				00-Jan-00	15.8	16.69		00-Jan-00		M18N035	180575			
	272107807	TRES	Ithaca	Unit_2	2	2018	Adult	F	Color_Stressor	Control_Control	144	1	SY	20.5	115	28.5	00-Jan-00	00-Jan-00		0.47	0.47	202		00-Jan-00	1.67	1.77	225		9.5	00-Jan-00				00-Jan-00	12.88	13.61		00-Jan-00		M18N036	180576			She escaped between baseline and stress bleed. BUTY 0.55
	272106708	TRES	Ithaca	Unit_4	76	2018	Adult	F	Color_Stressor	None	145	1	ASY	24.5	28.8	117	00-Jan-00	00-Jan-00		2.74	2.89	251	0.31	00-Jan-00	39.7	41.95	230		11	00-Jan-00				00-Jan-00	11.35	12		00-Jan-00		M18N037	180580			
	272106817	TRES	Ithaca	Unit_2	18	2018	Adult	F	Color_Stressor	Control_Tape	145	1	SY	22	28.3	114	00-Jan-00	00-Jan-00		0.47	0.47	190	0.46	00-Jan-00	12.81	13.54	250		10	00-Jan-00				00-Jan-00	10.36	10.94		00-Jan-00		M18N038	180581			
	272106613	TRES	Ithaca	Unit_2	30	2018	Adult	F	Color_Stressor	Control_Predator	145	1	SY	23.5	27.9	116	00-Jan-00	00-Jan-00		1.91	2.02	214	0.32	00-Jan-00	14.45	15.27	230		11	00-Jan-00				00-Jan-00	9.12	9.64				M18N039	180582			No release time written down.
	272107750	TRES	Ithaca	Unit_1	121	2018	Adult	F	Color_Stressor	Dull_Predator	145	1	ASY	23.5	28.3	118	00-Jan-00	00-Jan-00		0.47	0.47	228	0.33	00-Jan-00	21.25	22.46	258		11	00-Jan-00				00-Jan-00	9.51	10.05		00-Jan-00		M18N040	180583			
	272107297	TRES	Ithaca	Unit_2	27	2018	Adult	F	Color_Stressor	Dull_Control	146	1	SY	22.5	28.8	116	00-Jan-00	00-Jan-00		0.47	0.47	263	0.37	00-Jan-00	16.86	17.81	275		10.5	00-Jan-00				00-Jan-00	7.82	8.27		00-Jan-00		M18N041	180588			
	272107112	TRES	Ithaca	Unit_2	121	2018	Adult	F	Color_Stressor	Control_Predator	146	1	SY	23.5	28.4	117	00-Jan-00	00-Jan-00		0.47	0.47	234	0.3	00-Jan-00	18.7	19.76	257		11	00-Jan-00				00-Jan-00	9.54	10.08		00-Jan-00		M18N042	180589			
	272107153	TRES	Ithaca	Unit_1	17	2018	Adult	F	Color_Stressor	Control_Predator	146	1	SY	22	29.4	115.5	00-Jan-00	00-Jan-00		1.66	1.75	280	0.22	00-Jan-00	31.35	33.13	274		10	00-Jan-00				00-Jan-00	18.02	19.04		00-Jan-00		M18N043	180590			
	272106711	TRES	Ithaca	Unit_1	85	2018	Adult	F	Color_Stressor	Control_Control	146	1	ASY	22	28.2	116	00-Jan-00	00-Jan-00		0.72	0.76	165	0.54	00-Jan-00	15.69	16.58	232		10	00-Jan-00				00-Jan-00	6.6	6.98		00-Jan-00		M18N044	180591			
	272107811	TRES	Ithaca	Unit_2	102	2018	Adult	F	Color_Stressor	Control_Control	147	1	ASY	20.5	28.6	117	00-Jan-00	00-Jan-00		0.66	0.7	219	0.21	00-Jan-00	11.18	11.81	230		9.5	00-Jan-00				00-Jan-00	6.67	7.05		00-Jan-00		M18N045	180596			
	272107810	TRES	Ithaca	Unit_2	45	2018	Adult	F	Color_Stressor	Control_Predator	147	1	SY	21	27.9	115	00-Jan-00	00-Jan-00		0.47	0.47	178	0.4	00-Jan-00	20.18	21.32	174		9.5	00-Jan-00				00-Jan-00	13.91	14.7		00-Jan-00		M18N046	180597			
	272106819	TRES	Ithaca	Unit_1	62	2018	Adult	F	Color_Stressor	Dull_Predator	147	1	ASY	23	28.5	114.5	00-Jan-00	00-Jan-00		2.37	2.51	198		00-Jan-00	22.84	24.13	249		10.5	00-Jan-00				00-Jan-00	9.25	9.77		00-Jan-00		M18N047	180598			Not enough plasma for BUTY
	272107261	TRES	Ithaca	Unit_4	90	2018	Adult	F	Color_Stressor	Control_Predator	147	1	ASY	23	29.1	119	00-Jan-00	00-Jan-00		0.47	0.47	219	0.44	00-Jan-00	16.32	17.24	260		10.5	00-Jan-00				00-Jan-00	20.86	22.04		00-Jan-00		M18N048	180599			
	272107258	TRES	Ithaca	Unit_4	101	2018	Adult	F	Color_Stressor	Dull_Tape	147	1	SY	24	27.9	113	00-Jan-00	00-Jan-00		0.74	0.78	236	0.36	00-Jan-00	21.18	22.38	223		11	00-Jan-00				00-Jan-00	13.57	14.34		00-Jan-00		M18N049	180600			R leg irritated by poor banding.
	272107787	TRES	Ithaca	Unit_2	9	2018	Adult	F	Color_Stressor	Control_Control	148	1	SY	21	27.8	117	00-Jan-00	00-Jan-00		1.82	1.92	201	0.4	00-Jan-00	24.99	26.4	202		9.5	00-Jan-00				00-Jan-00	7.86	8.31		00-Jan-00		M18N050	180601			
	272106913	TRES	Ithaca	Unit_2	117	2018	Adult	F	Color_Stressor	Predator_Dull	148	1	ASY	22	29	122	00-Jan-00	00-Jan-00		0.47	0.47	213	0.37	00-Jan-00	14.15	14.95	220		10	00-Jan-00				00-Jan-00	13.4	14.16		00-Jan-00		M18N051	180602			
	272106912	TRES	Ithaca	Unit_2	92	2018	Adult	F		Control_Control	148	1	SY	21	27.8	113	00-Jan-00	00-Jan-00		1.38	1.45	116	0.4	00-Jan-00	30.88	32.63	182		9.5	00-Jan-00				00-Jan-00	13.59	14.36		00-Jan-00		M18N052	180603			Female was not colored
	272107786	TRES	Ithaca	Unit_2	77	2018	Adult	F	Color_Stressor	Control_Control	148	1	SY	22	27.8	117.5	00-Jan-00	00-Jan-00		2.89	3.05	199	0.41	00-Jan-00	17.44	18.43	245		10	00-Jan-00				00-Jan-00	12.87	13.6		00-Jan-00		M18N053	180604			
	88004633	TRES	Ithaca	Unit_2	83	2018	Adult	F	Color_Stressor	Dull_Control	148	1	ASY	22.5	28.6	115	00-Jan-00	00-Jan-00		1	1.06	200	0.4	00-Jan-00	26.21	27.69	117		10.5	00-Jan-00				00-Jan-00	12.81	13.54		00-Jan-00		M18N054	180605			
	272107794	TRES	Ithaca	Unit_1	12	2018	Adult	F	Color_Stressor	Control_Control	149	1	SY	22	28.6	113	00-Jan-00	00-Jan-00		1.28	1.35	190	0.49	00-Jan-00	20.03	21.17	215		10	00-Jan-00				00-Jan-00	12.5	13.21		00-Jan-00		M18N055	180611			
	272107699	TRES	Ithaca	Unit_1	75	2018	Adult	F	Color_Stressor	Control_Tape	149	1	SY	21.5	29.1	116	00-Jan-00	00-Jan-00		0.73	0.77	191	0.61	00-Jan-00	33.15	35.03	263		10	00-Jan-00				00-Jan-00	19.77	20.89		00-Jan-00		M18N056	180612			
	272107790	TRES	Ithaca	Unit_1	104	2018	Adult	F	Color_Stressor	Dull_Control	149	1	SY	21.5	28.7	119.5	00-Jan-00	00-Jan-00		0.83	0.87	213	0.48	00-Jan-00	21.66	22.89	263		10	00-Jan-00					9.48	10.02				M18N057	180613			Female 1st capture only. No post-dex or release time written. 'Pretty blue for female SY.' Female not colored after 1st capture.
	272107813	TRES	Ithaca	Unit_4	16	2018	Adult	F	Color_Stressor	Dull_Control	149	1	ASY	21.5	28.7	116	00-Jan-00	00-Jan-00		0.49	0.52	198	0.63	00-Jan-00	40.86	43.18	226		10	00-Jan-00				00-Jan-00	14.21	15.01		00-Jan-00		M18N058	180616			Microbe swab only inserted halfway
	272107812	TRES	Ithaca	Unit_4	18	2018	Adult	F	Color_Stressor	Control_Tape	149	1	SY	22.5	28.7	118	00-Jan-00	00-Jan-00		1.38	1.46	248	0.54	00-Jan-00	37.77	39.91	276		10.5	00-Jan-00				00-Jan-00	14.76	15.6		00-Jan-00		M18N059	180617			Prominent white feathering on forehead
	156181156	TRES	Ithaca	Unit_4	93	2018	Adult	F	Color_Stressor	Dull_Control	149	1	ASY	23.25	29	116	00-Jan-00	00-Jan-00		1.43	1.51	227		00-Jan-00	18.64	19.7	297		10.5	00-Jan-00				00-Jan-00	11.33	11.97		00-Jan-00		M18N060	180618			"Female only has right leg - could not attach RFID
Not enough plasma for BUTY"
	272107779	TRES	Ithaca	Unit_4	71	2018	Adult	F	Color_Stressor	Dull_Control	149	1	ASY	23	29	118	00-Jan-00	00-Jan-00		0.47	0.47	223	0.3	00-Jan-00	17.89	18.9	212		10.5	00-Jan-00				00-Jan-00	12.98	13.71		00-Jan-00		M18N061	180619			Has Life tag transmitter and old RFID
	272106696	TRES	Ithaca	Unit_1	123	2018	Adult	F	Color_Stressor	Control_Predator	151	1	SY	21	28.1	115	00-Jan-00	00-Jan-00		2.89	3.06	239	0.35	00-Jan-00	25.48	26.92	193		9.5	00-Jan-00				00-Jan-00	14.33	15.14		00-Jan-00		M18N062	180628			
	263113706	TRES	Ithaca	Unit_2	122	2018	Adult	F	Color_Stressor	Dull_Tape	151	3	ASY	21	28.2	120	00-Jan-00	00-Jan-00		1.02	1.08	165	0.42	00-Jan-00	8.52	9	156		9.5	00-Jan-00				00-Jan-00	8.85	9.35		00-Jan-00		M18N063	180635			
	262126105	TRES	Ithaca	Unit_2	122	2018	Adult	M	Color_Stressor	Mate_Dull_Tape	151	1	AHY	23	29.6	121	00-Jan-00	00-Jan-00		2.18	2.3			00-Jan-00	25.21	26.64			10.5	00-Jan-00				00-Jan-00	12.07	12.75		00-Jan-00		M18N064	180636			
	272106822	TRES	Ithaca	Unit_2	71	2018	Adult	F	Color_Stressor	Control_Control	151	1	SY	21.5	29.2	113	00-Jan-00	00-Jan-00		0.69	0.73	193	0.26	00-Jan-00	22.68	23.97	236		10	00-Jan-00				00-Jan-00	7.28	7.69		00-Jan-00		M18N065	180637			"second glucose base: 187
second BUTY: .26"
	272106728	TRES	Ithaca	Unit_2	54	2018	Adult	F	Color_Stressor	Control_Control	151	1	SY	21.5	28.3	116	00-Jan-00	00-Jan-00		0.47	0.47	225		00-Jan-00	14.52	15.34	218		10	00-Jan-00				00-Jan-00	5.95	6.29		00-Jan-00		M18N066	180638			Not enough plasma for BUTY.
	272107698	TRES	Ithaca	Unit_2	42	2018	Adult	F	Color_Stressor	Dull_Tape	151	1	SY	20.75	28.6	113.5	00-Jan-00	00-Jan-00		0.99	1.04	181	0.42	00-Jan-00	29.82	31.51	207		9.5	00-Jan-00				00-Jan-00	13.06	13.8		00-Jan-00		M18N067	180639			
	272106823	TRES	Ithaca	Unit_2	64	2018	Adult	F	Color_Stressor	Dull_Tape	152	1	SY	24.25	28.7	116	00-Jan-00	00-Jan-00		0.47	0.47	241		00-Jan-00	21.24	22.45	318		11	00-Jan-00				00-Jan-00	7.72	8.15		00-Jan-00		M18N068	180640			BUTY done incorrectly and recorded 75
	272106795	TRES	Ithaca	Unit_2	37	2018	Adult	F	Color_Stressor	Dull_Tape	153	1	SY	21	27.8	115	00-Jan-00	00-Jan-00		2.24	2.37	183	0.56	00-Jan-00	29.96	31.66	211		9.5	00-Jan-00				00-Jan-00	9.71	10.26		00-Jan-00		M18N069	180658			Decent size difference in HB and FW measurement between 1st and 3rd capture
	272107503	TRES	Ithaca	Unit_2	124	2018	Adult	M	Color_Stressor	Mate_Dull_Control	154	1	AHY	19.5	28.7	125	00-Jan-00	00-Jan-00		3.58	3.79			00-Jan-00	37.3	39.41			9	00-Jan-00				00-Jan-00	11.31	11.95		00-Jan-00		M18N070	180666			#NAME?
	272108041	TRES	Ithaca	Unit_2	124	2018	Adult	F	Color_Stressor	Dull_Control	154	3	ASY	20	28.7	118	00-Jan-00	00-Jan-00		1.93	2.04	201		00-Jan-00	19.09	20.17	212		9	00-Jan-00				00-Jan-00	6.94	7.33		00-Jan-00		M18N071	180667			#NAME?
	272106635	TRES	Ithaca	Unit_2	22	2018	Adult	F	Color_Stressor	Control_Control	155	3	SY	16.5	28.4	116.5	00-Jan-00	00-Jan-00		5.78	6.11	203		00-Jan-00	46.36	48.98			7.5	00-Jan-00				00-Jan-00	9.34	9.87		00-Jan-00		M18N072	180669			"No reading for glucose stressed
BUTY not in log"
	272107749	TRES	Ithaca	Unit_2	67	2018	Adult	F	Color_Stressor	Dull_Tape	155	3	ASY	18.5	28.4	116	00-Jan-00	00-Jan-00		0.47	0.47	207	0.57	00-Jan-00	21.18	22.38	305		8.5	00-Jan-00				00-Jan-00	5.2	5.5		00-Jan-00		M18N073	180670			second glucose baseline: 236
	272107697	TRES	Ithaca	Unit_2	67	2018	Adult	M	Color_Stressor	Mate_Dull_Tape	155	1	AHY	18.5	29.8	121	00-Jan-00	00-Jan-00		5.75	6.07	234							8.5	00-Jan-00								00-Jan-00		M18N074	180671			"trap unspecified
male not bleeding on stressed- released after stress time"
	272106733	TRES	Ithaca	Unit_2	68	2018	Adult	F	Color_Stressor	Control_Tape	155	3	SY	17.5	28.2	115	00-Jan-00	00-Jan-00		4.36	4.61	240	0.44	00-Jan-00	40.89	43.21	241		8	00-Jan-00				00-Jan-00	14.87	15.71		00-Jan-00		M18N075	180672			"Both zip ties removed
Two glucose measurements on baseline bleed: second was 244"
